SN,Lat1,Long1,Lat2,Long2,
786,,,26.6492677,83.9396928,
787,,,26.627735,83.891064,
788,,,26.583141,83.67159,
789,,,26.2855598,83.7101245,
790,,,26.4450883,83.6178998,
791,,,26.318195,84.024096,
792,,,26.3419083,83.8440334,
793,,,26.4525488,83.8042062,
794,,,27.72903,78.625225,
795,,,27.500201,79.162283,
796,,,27.4310128,78.3627407,
797,,,27.467232,78.4714806,
798,,,27.584826,78.638273,
799,,,27.4387251,79.0965822,
800,,,27.515572,79.014135,
801,,,27.499142,78.324324,
802,,,27.4794233,78.3056073,
803,,,27.6909558,78.6171209,
804,,,27.729314,78.624849,
805,,,27.581297,78.500233,
806,,,27.679928,78.594526,
807,,,27.442047,78.781215,
808,,,27.5666795,78.827372,
809,,,27.47912,78.812056,
810,,,27.5010965,79.0566903,
811,,,27.4873975,78.252833,
812,,,27.472497,78.826592,
813,,,26.56133,79.14134,
814,,,26.510026,79.08579,
815,,,26.6182,79.24603,
816,,,26.731137,78.916762,
817,,,26.71958,78.957348,
818,,,26.826944,79.055755,
819,,,26.80877,78.946358,
820,,,26.893501,78.919657,
821,,,26.901676,78.86893,
822,,,26.954407,78.960375,
823,,,26.8415776,79.0838381,
824,,,26.726444,79.232403,
825,,,26.907635,79.305878,
826,,,26.9041843,79.2602448,
827,,,26.733884,79.218101,
828,,,26.873082,78.987858,
829,,,26.9039132,79.286035,
830,,,26.9566713,78.9565727,
831,,,26.7600927,79.1972491,
832,,,26.7967917,79.0327168,
833,,,26.57947,79.110821,
834,,,26.885784,78.903545,
835,,,27.3652163,79.6017691,
836,,,27.3081824,79.4341766,
837,,,27.4316938,79.4125915,
838,,,27.3388633,79.4316434,
839,,,27.361147,79.634192,
